,WindGustSpeed,cloud,pressure,humidity,temp,RainToday,RainTomorrow
4,41.0,7.5,1008.4,57.5,24.325,0,0
11,31.0,8.0,1007.35,90.0,17.625,1,1
12,61.0,8.0,993.65,84.5,16.925,1,1
16,22.0,4.5,1011.3,75.5,17.575,0,1
17,63.0,4.5,1004.0,72.5,18.975,1,1
29,50.0,8.0,1004.5,74.0,16.85,1,0
52,98.0,2.5,1001.55,49.5,29.4,0,1
70,37.0,7.5,1008.55,48.5,24.425,0,0
73,46.0,5.0,1017.15,63.5,18.0,0,1
85,46.0,6.5,1013.35,34.0,22.45,0,0
86,43.0,7.0,1015.0,32.5,21.275,0,0
111,37.0,2.0,1013.75,43.0,22.925,0,0
114,30.0,8.0,1018.3,73.5,18.900000000000002,0,1
123,98.0,7.0,1015.8499999999999,70.5,23.225,1,1
130,48.0,7.5,1019.6,50.5,19.75,0,1
131,46.0,7.0,1022.35,61.0,20.075,1,1
137,26.0,3.0,1017.65,49.0,15.600000000000001,0,0
144,39.0,8.0,1005.65,80.0,14.2,0,1
145,70.0,8.0,1002.8499999999999,86.0,14.125,1,1
146,63.0,8.0,1003.65,69.5,10.65,1,1
147,26.0,8.0,1013.65,80.5,8.25,1,1
148,35.0,4.5,1018.15,65.5,11.55,1,0
152,22.0,6.0,1025.45,65.0,13.900000000000002,0,0
164,35.0,8.0,1014.2,68.0,12.2,0,0
165,54.0,7.5,1013.0,72.5,13.925,0,1
166,52.0,8.0,1012.5999999999999,68.0,14.075,1,0
170,13.0,7.0,1021.65,66.0,13.525,0,0
175,31.0,5.0,1022.15,63.5,15.175,0,1
176,19.0,5.5,1020.3,85.5,15.175,1,0
182,13.0,8.0,1030.5500000000002,81.5,11.375,1,1
183,13.0,8.0,1027.75,76.5,11.45,1,1
184,13.0,8.0,1021.95,91.0,12.575,1,1
185,13.0,7.5,1019.25,78.5,13.525,1,0
187,11.0,8.0,1013.1500000000001,95.0,6.7749999999999995,0,1
188,30.0,8.0,1006.9,86.5,9.45,1,1
189,33.0,8.0,1009.1500000000001,83.5,10.675,1,1
190,43.0,8.0,1009.7,93.5,7.45,1,1
193,15.0,7.5,1023.95,85.5,4.175,0,0
201,28.0,7.5,1023.1500000000001,70.5,10.475,0,1
